0,0,22
1,0,12
2,0,12
3,0,8
4,0,48
5,0,5
6,0,29
7,0,47
8,0,30
0,1,16
1,1,1
2,1,44
3,1,44
4,1,17
5,1,42
6,1,51
7,1,28
8,1,28
0,2,21
1,2,40
2,2,21
3,2,0
4,2,44
5,2,16
6,2,46
7,2,4
8,2,9
0,3,23
1,3,10
2,3,10
3,3,43
4,3,44
5,3,7
6,3,23
7,3,38
8,3,40
0,4,8
1,4,1
2,4,33
3,4,21
4,4,9
5,4,44
6,4,48
7,4,16
8,4,22
0,5,2
1,5,10
2,5,15
3,5,48
4,5,22
5,5,44
6,5,43
7,5,14
8,5,5
0,6,36
1,6,27
2,6,2
3,6,25
4,6,32
5,6,16
6,6,44
7,6,30
8,6,26
0,7,27
1,7,32
2,7,10
3,7,38
4,7,41
5,7,16
6,7,44
7,7,11
8,7,12
0,8,12
1,8,42
2,8,27
3,8,30
4,8,30
5,8,34
6,8,18
7,8,44
8,8,35
0,9,51
1,9,34
2,9,30
3,9,30
4,9,9
5,9,10
6,9,49
7,9,44
8,9,0
0,10,0
1,10,39
2,10,30
3,10,15
4,10,30
5,10,9
6,10,42
7,10,11
8,10,48
0,11,47
1,11,30
2,11,14
3,11,12
4,11,30
5,11,15
6,11,15
7,11,36
8,11,51
0,12,32
1,12,50
2,12,30
3,12,13
4,12,30
5,12,48
6,12,30
7,12,2
8,12,18
0,13,32
1,13,21
2,13,30
3,13,30
4,13,30
5,13,40
6,13,32
7,13,30
8,13,50
0,14,11
1,14,31
2,14,17
3,14,30
4,14,7
5,14,13
6,14,38
7,14,20
8,14,23
0,15,32
1,15,24
2,15,33
3,15,1
4,15,29
5,15,38
6,15,16
7,15,28
8,15,19
0,16,5
1,16,2
2,16,46
3,16,1
4,16,41
5,16,47
6,16,51
7,16,31
8,16,44
0,17,15
1,17,35
2,17,1
3,17,25
4,17,26
5,17,20
6,17,19
7,17,46
8,17,50
